,cet_cest_timestamp,DE_KN_residential5_dishwasher,DE_KN_residential5_grid_import,DE_KN_residential5_refrigerator,DE_KN_residential5_washing_machine
12570,2016-05-18T13:00:00+0200,146.656,1644.769,182.261,123.374
12571,2016-05-18T14:00:00+0200,146.656,1644.854,182.342,123.374
12572,2016-05-18T15:00:00+0200,146.656,1644.974,182.358,123.374
12573,2016-05-18T16:00:00+0200,146.657,1645.039,182.358,123.374
12574,2016-05-18T17:00:00+0200,146.657,1645.1789999999999,182.43599999999998,123.374
12575,2016-05-18T18:00:00+0200,146.657,1645.244,182.43599999999998,123.374
12576,2016-05-18T19:00:00+0200,146.657,1645.374,182.50099999999998,123.374
12577,2016-05-18T20:00:00+0200,146.657,1645.4489999999998,182.513,123.374
12578,2016-05-18T21:00:00+0200,146.657,1645.549,182.547,123.374
12579,2016-05-18T22:00:00+0200,146.657,1645.654,182.58700000000002,123.374
12580,2016-05-18T23:00:00+0200,146.657,1645.744,182.614,123.374
12581,2016-05-19T00:00:00+0200,146.657,1645.854,182.65900000000002,123.374
12582,2016-05-19T01:00:00+0200,146.658,1645.9389999999999,182.679,123.374
12583,2016-05-19T02:00:00+0200,146.658,1646.0339999999999,182.71200000000002,123.374
12584,2016-05-19T03:00:00+0200,146.658,1646.134,182.747,123.374
12585,2016-05-19T04:00:00+0200,146.658,1646.219,182.768,123.374
12586,2016-05-19T05:00:00+0200,146.658,1646.3239999999998,182.81099999999998,123.374
12587,2016-05-19T06:00:00+0200,146.658,1646.4089999999999,182.831,123.374
12588,2016-05-19T07:00:00+0200,146.658,1646.514,182.875,123.374
12589,2016-05-19T08:00:00+0200,146.658,1646.609,182.90099999999998,123.374
12590,2016-05-19T09:00:00+0200,146.658,1646.6989999999998,182.929,123.374
12591,2016-05-19T10:00:00+0200,146.659,1646.8039999999999,182.972,123.374
12592,2016-05-19T11:00:00+0200,146.659,1646.869,182.975,123.374
12593,2016-05-19T12:00:00+0200,146.659,1647.009,183.046,123.374
12594,2016-05-19T13:00:00+0200,146.659,1647.069,183.047,123.374
12595,2016-05-19T14:00:00+0200,146.659,1647.204,183.11599999999999,123.374
12596,2016-05-19T15:00:00+0200,146.659,1647.269,183.11900000000003,123.374
12597,2016-05-19T16:00:00+0200,146.659,1647.374,183.157,123.374
12598,2016-05-19T17:00:00+0200,146.659,1647.474,183.195,123.374
12599,2016-05-19T18:00:00+0200,146.659,1647.5439999999999,183.202,123.374
12600,2016-05-19T19:00:00+0200,146.66,1647.6789999999999,183.27200000000002,123.374
12601,2016-05-19T20:00:00+0200,146.66,1647.739,183.27200000000002,123.374
12602,2016-05-19T21:00:00+0200,146.66,1647.879,183.34599999999998,123.374
12603,2016-05-19T22:00:00+0200,146.66,1647.944,183.34599999999998,123.374
12604,2016-05-19T23:00:00+0200,146.66,1648.0639999999999,183.4,123.374
12605,2016-05-20T00:00:00+0200,146.66,1648.149,183.42,123.374
12606,2016-05-20T01:00:00+0200,146.66,1648.234,183.44,123.374
12607,2016-05-20T02:00:00+0200,146.66,1648.349,183.493,123.374
12608,2016-05-20T03:00:00+0200,146.66,1648.414,183.493,123.374
12609,2016-05-20T04:00:00+0200,146.661,1648.549,183.565,123.374
12610,2016-05-20T05:00:00+0200,146.661,1648.614,183.56599999999997,123.374
12611,2016-05-20T06:00:00+0200,146.661,1648.739,183.628,123.374
12612,2016-05-20T07:00:00+0200,146.661,1648.809,183.637,123.374
12613,2016-05-20T08:00:00+0200,146.661,1648.904,183.66400000000002,123.374
12614,2016-05-20T09:00:00+0200,146.661,1649.009,183.709,123.374
12615,2016-05-20T10:00:00+0200,146.661,1649.0739999999998,183.71,123.374
12616,2016-05-20T11:00:00+0200,146.661,1649.2089999999998,183.78099999999998,123.374
12617,2016-05-20T12:00:00+0200,146.661,1649.269,183.782,123.374
12618,2016-05-20T13:00:00+0200,146.662,1649.404,183.85299999999998,123.374
12619,2016-05-20T14:00:00+0200,146.662,1649.474,183.857,123.374
12620,2016-05-20T15:00:00+0200,146.662,1649.5839999999998,183.90099999999998,123.374
12621,2016-05-20T16:00:00+0200,146.662,1649.6789999999999,183.933,123.374
12622,2016-05-20T17:00:00+0200,146.662,1649.759,183.94799999999998,123.374
12623,2016-05-20T18:00:00+0200,146.662,1649.889,184.012,123.374
12624,2016-05-20T19:00:00+0200,146.662,1649.954,184.019,123.374
12625,2016-05-20T20:00:00+0200,146.662,1650.079,184.077,123.374
12626,2016-05-20T21:00:00+0200,146.662,1650.154,184.09,123.374
12627,2016-05-20T22:00:00+0200,146.66299999999998,1650.264,184.132,123.374
12628,2016-05-20T23:00:00+0200,146.66299999999998,1650.354,184.15900000000002,123.374
12629,2016-05-21T00:00:00+0200,146.66299999999998,1650.454,184.192,123.374
12630,2016-05-21T01:00:00+0200,146.66299999999998,1650.559,184.234,123.374
12631,2016-05-21T02:00:00+0200,146.66299999999998,1650.654,184.264,123.374
12632,2016-05-21T03:00:00+0200,146.66299999999998,1650.754,184.3,123.374
12633,2016-05-21T04:00:00+0200,146.66299999999998,1650.854,184.33599999999998,123.374
12634,2016-05-21T05:00:00+0200,146.66299999999998,1650.934,184.352,123.374
12635,2016-05-21T06:00:00+0200,146.66299999999998,1651.0539999999999,184.40900000000002,123.374
12636,2016-05-21T07:00:00+0200,146.664,1651.119,184.41,123.374
12637,2016-05-21T08:00:00+0200,146.664,1651.254,184.48,123.374
12638,2016-05-21T09:00:00+0200,146.664,1651.319,184.482,123.374
12639,2016-05-21T10:00:00+0200,146.664,1651.434,184.537,123.374
12640,2016-05-21T11:00:00+0200,146.664,1651.519,184.558,123.374
12641,2016-05-21T12:00:00+0200,146.664,1651.599,184.576,123.374
12642,2016-05-21T13:00:00+0200,146.664,1651.724,184.636,123.374
12643,2016-05-21T14:00:00+0200,146.664,1651.789,184.636,123.374
12644,2016-05-21T15:00:00+0200,146.664,1651.9289999999999,184.715,123.374
12645,2016-05-21T16:00:00+0200,146.665,1651.989,184.71599999999998,123.374
12646,2016-05-21T17:00:00+0200,146.665,1652.124,184.785,123.374
12647,2016-05-21T18:00:00+0200,146.665,1652.1989999999998,184.796,123.374
12648,2016-05-21T19:00:00+0200,146.665,1652.3139999999999,184.84900000000002,123.374
12649,2016-05-21T20:00:00+0200,146.665,1652.404,184.87400000000002,123.374
12650,2016-05-21T21:00:00+0200,146.665,1652.499,184.90599999999998,123.374
12651,2016-05-21T22:00:00+0200,146.665,1652.609,184.95,123.374
12652,2016-05-21T23:00:00+0200,146.665,1652.704,184.982,123.374
12653,2016-05-22T00:00:00+0200,146.665,1652.8039999999999,185.015,123.374
12654,2016-05-22T01:00:00+0200,146.666,1652.9089999999999,185.058,123.374
12655,2016-05-22T02:00:00+0200,146.666,1652.979,185.062,123.374
12656,2016-05-22T03:00:00+0200,146.666,1653.119,185.138,123.374
12657,2016-05-22T04:00:00+0200,146.666,1653.184,185.18900000000002,123.374
12658,2016-05-22T05:00:00+0200,146.666,1653.309,185.205,123.374
12659,2016-05-22T06:00:00+0200,146.666,1653.394,185.265,123.374
12660,2016-05-22T07:00:00+0200,146.666,1653.489,185.30599999999998,123.374
12661,2016-05-22T08:00:00+0200,146.666,1653.599,185.325,123.374
12662,2016-05-22T09:00:00+0200,146.666,1653.674,185.365,123.374
12663,2016-05-22T10:00:00+0200,146.667,1653.8039999999999,185.428,123.374
12664,2016-05-22T11:00:00+0200,146.667,1653.869,185.45,123.374
12665,2016-05-22T12:00:00+0200,146.667,1654.009,185.46,123.374
12666,2016-05-22T13:00:00+0200,146.667,1654.0739999999998,185.54,123.374
12667,2016-05-22T14:00:00+0200,146.667,1654.194,185.571,123.374
12668,2016-05-22T15:00:00+0200,146.667,1654.289,185.59599999999998,123.374
12669,2016-05-22T16:00:00+0200,146.667,1654.384,185.63400000000001,123.374
12670,2016-05-22T17:00:00+0200,146.667,1654.494,185.67700000000002,123.374
12671,2016-05-22T18:00:00+0200,146.667,1654.589,185.708,123.374
12672,2016-05-22T19:00:00+0200,146.668,1654.694,185.75,123.374
12673,2016-05-22T20:00:00+0200,146.668,1654.799,185.792,123.374
12674,2016-05-22T21:00:00+0200,146.668,1654.884,185.81400000000002,123.374
12675,2016-05-22T22:00:00+0200,146.668,1655.004,185.87,123.374
12676,2016-05-22T23:00:00+0200,146.668,1655.0739999999998,185.87400000000002,123.374
12677,2016-05-23T00:00:00+0200,146.668,1655.214,185.95,123.374
12678,2016-05-23T01:00:00+0200,146.668,1655.2779999999998,185.951,123.374
12679,2016-05-23T02:00:00+0200,146.668,1655.414,186.023,123.374
12680,2016-05-23T03:00:00+0200,146.668,1655.494,186.03400000000002,123.374
12681,2016-05-23T04:00:00+0200,146.66899999999998,1655.599,186.077,123.374
12682,2016-05-23T05:00:00+0200,146.66899999999998,1655.6989999999998,186.115,123.374
12683,2016-05-23T06:00:00+0200,146.66899999999998,1655.799,186.14700000000002,123.374
12684,2016-05-23T07:00:00+0200,146.66899999999998,1655.904,186.19,123.374
12685,2016-05-23T08:00:00+0200,146.66899999999998,1655.999,186.22299999999998,123.374
12686,2016-05-23T09:00:00+0200,146.66899999999998,1656.094,186.25400000000002,123.374
12687,2016-05-23T10:00:00+0200,146.66899999999998,1656.1989999999998,186.298,123.374
12688,2016-05-23T11:00:00+0200,146.66899999999998,1656.274,186.30900000000003,123.374
12689,2016-05-23T12:00:00+0200,146.66899999999998,1656.4089999999999,186.37599999999998,123.374
12690,2016-05-23T13:00:00+0200,146.67,1656.469,186.37599999999998,123.374
12691,2016-05-23T14:00:00+0200,146.67,1656.609,186.449,123.374
12692,2016-05-23T15:00:00+0200,146.67,1656.6789999999999,186.455,123.374
12693,2016-05-23T16:00:00+0200,146.67,1656.7939999999999,186.51,123.374
12694,2016-05-23T17:00:00+0200,146.67,1656.889,186.535,123.374
12695,2016-05-23T18:00:00+0200,146.67,1656.974,186.562,123.374
12696,2016-05-23T19:00:00+0200,146.67,1657.089,186.613,123.374
12697,2016-05-23T20:00:00+0200,146.67,1657.1589999999999,186.614,123.374
12698,2016-05-23T21:00:00+0200,146.67,1657.299,186.69299999999998,123.374
12699,2016-05-23T22:00:00+0200,146.671,1657.364,186.69299999999998,123.374
12700,2016-05-23T23:00:00+0200,146.671,1657.494,186.755,123.374
12701,2016-05-24T00:00:00+0200,146.671,1657.569,186.771,123.374
12702,2016-05-24T01:00:00+0200,146.671,1657.674,186.808,123.374
12703,2016-05-24T02:00:00+0200,146.671,1657.774,186.843,123.374
12704,2016-05-24T03:00:00+0200,146.671,1657.869,186.875,123.374
12705,2016-05-24T04:00:00+0200,146.671,1657.974,186.915,123.374
12706,2016-05-24T05:00:00+0200,146.671,1658.0639999999999,186.94,123.374
12707,2016-05-24T06:00:00+0200,146.671,1658.164,186.97799999999998,123.374
