,cet_cest_timestamp,DE_KN_residential4_dishwasher,DE_KN_residential4_ev,DE_KN_residential4_freezer,DE_KN_residential4_grid_export,DE_KN_residential4_grid_import,DE_KN_residential4_heat_pump,DE_KN_residential4_pv,DE_KN_residential4_refrigerator,DE_KN_residential4_washing_machine
12519,2016-05-16T10:00:00+0200,66.94800000000001,593.183,92.32700000000001,3250.759,3032.8909999999996,2202.651,4620.573,80.111,69.795
12520,2016-05-16T11:00:00+0200,66.94800000000001,593.183,92.34200000000001,3252.925,3032.8909999999996,2202.661,4622.898,80.111,69.795
12521,2016-05-16T12:00:00+0200,66.94800000000001,593.183,92.368,3256.116,3032.8909999999996,2202.665,4626.288,80.142,69.795
12522,2016-05-16T13:00:00+0200,66.94800000000001,593.183,92.382,3261.1809999999996,3032.8909999999996,2202.6710000000003,4631.503,80.142,69.795
12523,2016-05-16T14:00:00+0200,66.94800000000001,593.183,92.40100000000001,3264.741,3032.8909999999996,2202.681,4635.248,80.173,69.795
12524,2016-05-16T15:00:00+0200,66.94800000000001,593.183,92.42299999999999,3267.945,3032.8909999999996,2202.681,4638.638,80.173,69.795
12525,2016-05-16T16:00:00+0200,66.94800000000001,593.183,92.43799999999999,3270.488,3032.8920000000003,2202.6910000000003,4641.308,80.182,69.795
12526,2016-05-16T17:00:00+0200,66.94800000000001,593.183,92.463,3271.238,3032.908,2202.6910000000003,4642.213,80.205,69.795
12527,2016-05-16T18:00:00+0200,66.94800000000001,593.183,92.479,3271.4559999999997,3032.9109999999996,2202.701,4642.598,80.205,69.795
12528,2016-05-16T19:00:00+0200,66.94800000000001,593.183,92.49600000000001,3271.658,3032.926,2202.7110000000002,4642.958,80.236,69.795
12529,2016-05-16T20:00:00+0200,66.94800000000001,593.183,92.52,3271.67,3033.034,2202.7110000000002,4643.014,80.236,69.795
12530,2016-05-16T21:00:00+0200,66.94800000000001,593.183,92.53399999999999,3271.67,3033.2059999999997,2202.721,4643.014,80.26,69.795
12531,2016-05-16T22:00:00+0200,66.94800000000001,593.183,92.554,3271.67,3033.3559999999998,2202.721,4643.014,80.266,69.795
12532,2016-05-16T23:00:00+0200,66.94800000000001,593.183,92.574,3271.67,3033.5009999999997,2202.731,4643.014,80.266,69.795
12533,2016-05-17T00:00:00+0200,66.94800000000001,593.183,92.588,3271.67,3033.676,2202.741,4643.014,80.296,69.795
